,trj_id,driving_mode,osname,rawlat,rawlng,speed,bearing,accuracy,realtime
4631949,10,car,android,1.3049826,103.8015109,15.802989,3,8.0,2019-04-09 11:27:21
4640947,10,car,android,1.3051175,103.8015185,14.568945,3,8.0,2019-04-09 11:27:22
4636875,10,car,android,1.3052502,103.8015267,14.160214,4,12.0,2019-04-09 11:27:23
127032,10,car,android,1.3061421,103.8018023,13.052193,19,8.0,2019-04-09 11:27:31
4628342,10,car,android,1.306477,103.8019204,13.360846,19,8.0,2019-04-09 11:27:34
115618,10,car,android,1.3068306,103.802051,12.576111,19,8.0,2019-04-09 11:27:37
123709,10,car,android,1.3070684,103.8021322,12.893114,20,8.0,2019-04-09 11:27:39
4627012,10,car,android,1.3075506,103.8023064,14.400603,19,8.0,2019-04-09 11:27:43
4639808,10,car,android,1.3081571,103.8025196,15.973254,20,8.0,2019-04-09 11:27:48
120329,10,car,android,1.308991,103.8028496,17.044344,22,8.0,2019-04-09 11:27:54
128591,10,car,android,1.3100812,103.8032879,20.494608,20,6.0,2019-04-09 11:28:01
122153,10,car,android,1.3124497,103.8039393,17.560362,17,8.0,2019-04-09 11:28:15
113213,10,car,android,1.3138786,103.8044367,17.449463,18,12.0,2019-04-09 11:28:25
113144,10,car,android,1.3153396,103.8051784,14.528547,38,8.0,2019-04-09 11:28:36
4637926,10,car,android,1.3157338,103.8056412,13.634585,46,6.0,2019-04-09 11:28:41
125968,10,car,android,1.3175013,103.8076009,5.287815,49,8.0,2019-04-09 11:29:05
122993,10,car,android,1.3176397,103.8077424,4.350401,50,8.0,2019-04-09 11:29:09
4641755,10,car,android,1.3176762,103.8077896,0.0,55,5.345,2019-04-09 11:29:14
4640708,10,car,android,1.3176801,103.8077948,0.0,55,4.578,2019-04-09 11:29:17
4627240,10,car,android,1.317778,103.8079218,5.351006,50,8.0,2019-04-09 11:29:23
115575,10,car,android,1.3179773,103.808153,6.718682,51,6.0,2019-04-09 11:29:28
117218,10,car,android,1.3181299,103.808327,4.8093677,49,6.0,2019-04-09 11:29:32
4629318,10,car,android,1.3184104,103.8086168,6.3420854,48,6.0,2019-04-09 11:29:43
119932,10,car,android,1.3184811,103.8086934,6.304171,48,6.0,2019-04-09 11:29:45
121020,10,car,android,1.3185772,103.8087999,5.314335,48,6.0,2019-04-09 11:29:48
119230,10,car,android,1.318761,103.8090227,1.854598,51,3.457,2019-04-09 11:29:56
114215,10,car,android,1.3187762,103.8090375,0.0,51,3.921,2019-04-09 11:30:01
4641267,10,car,android,1.3190126,103.8093369,5.6228323,55,6.0,2019-04-09 11:30:15
4639563,10,car,android,1.3190388,103.8093769,5.634374,55,6.0,2019-04-09 11:30:16
4629577,10,car,android,1.319125,103.8095114,5.5714226,57,6.0,2019-04-09 11:30:19
120235,10,car,android,1.3192442,103.8097321,2.8184516,61,3.447,2019-04-09 11:30:30
122155,10,car,android,1.3192573,103.8097592,3.3257418,62,3.603,2019-04-09 11:30:31
4639710,10,car,android,1.3193375,103.8099163,2.7288873,62,4.19,2019-04-09 11:30:37
4638771,10,car,android,1.3195243,103.8102996,3.1363268,66,3.632,2019-04-09 11:30:52
117058,10,car,android,1.3195446,103.8103476,2.7026901,65,3.501,2019-04-09 11:30:54
117494,10,car,android,1.3195744,103.8104117,2.8508947,65,3.518,2019-04-09 11:30:57
4633125,10,car,android,1.3196887,103.810657,4.0192475,65,6.0,2019-04-09 11:31:06
4629931,10,car,android,1.3199963,103.8112873,9.087463,60,4.0,2019-04-09 11:31:23
4633199,10,car,android,1.3200434,103.8113571,8.974625,58,4.0,2019-04-09 11:31:24
4642509,10,car,android,1.3204567,103.8118431,0.7953877,46,3.116,2019-04-09 11:31:35
122532,10,car,android,1.3204638,103.8118478,0.36995736,46,3.0,2019-04-09 11:31:36
121553,10,car,android,1.3204718,103.811853,0.0,45,3.0,2019-04-09 11:31:39
4637771,10,car,android,1.3205797,103.8119437,5.051882,46,6.0,2019-04-09 11:31:41
4627902,10,car,android,1.3208252,103.8121655,5.73243,42,6.0,2019-04-09 11:31:47
117312,10,car,android,1.3211762,103.8124918,6.2504473,43,6.0,2019-04-09 11:31:54
4634806,10,car,android,1.3213908,103.8126655,5.8332167,41,4.0,2019-04-09 11:32:00
4635202,10,car,android,1.3214862,103.8127421,7.198373,41,4.0,2019-04-09 11:32:02
4635580,10,car,android,1.3216658,103.8128931,8.700318,38,6.0,2019-04-09 11:32:05
4638034,10,car,android,1.3226129,103.8131886,6.261541,11,4.0,2019-04-09 11:32:21
119940,10,car,android,1.3229397,103.8132481,5.398307,11,4.0,2019-04-09 11:32:27
127212,10,car,android,1.3232067,103.8133006,5.4877105,11,4.0,2019-04-09 11:32:33
114813,10,car,android,1.3232587,103.8133092,5.7697535,10,4.0,2019-04-09 11:32:34
4630810,10,car,android,1.3234802,103.8133467,2.840367,12,3.525,2019-04-09 11:32:41
4640268,10,car,android,1.3237619,103.8134035,5.1556926,11,4.0,2019-04-09 11:32:47
4634085,10,car,android,1.3249748,103.8136279,8.108404,9,4.0,2019-04-09 11:33:09
127369,10,car,android,1.3250434,103.8136374,7.8714395,8,4.0,2019-04-09 11:33:10
118174,10,car,android,1.3254261,103.8136828,4.321351,6,6.0,2019-04-09 11:33:17
118497,10,car,android,1.326353,103.8137722,10.044431,4,6.0,2019-04-09 11:33:33
128258,10,car,android,1.3266063,103.8137963,8.129013,4,6.0,2019-04-09 11:33:36
4641504,10,car,android,1.3268699,103.8138145,5.9954844,4,6.0,2019-04-09 11:33:40
117223,10,car,android,1.3270107,103.8138311,4.664136,3,6.0,2019-04-09 11:33:43
4630545,10,car,android,1.327368,103.8138571,4.185912,7,6.0,2019-04-09 11:33:52
4638373,10,car,android,1.3274616,103.8138587,3.33375,5,5.302,2019-04-09 11:33:55
4640117,10,car,android,1.3275557,103.8138664,2.23047,8,4.55,2019-04-09 11:33:59
4629756,10,car,android,1.3275779,103.8138692,2.352029,6,4.574,2019-04-09 11:34:00
112611,10,car,android,1.327601,103.8138722,2.8936453,6,4.718,2019-04-09 11:34:01
4639990,10,car,android,1.3280186,103.8139232,7.095618,8,6.0,2019-04-09 11:34:08
114593,10,car,android,1.3280831,103.8139304,7.5020213,8,6.0,2019-04-09 11:34:09
4629772,10,car,android,1.328149,103.8139393,7.5621486,8,6.0,2019-04-09 11:34:10
117925,10,car,android,1.3282765,103.8139638,6.9014473,10,6.0,2019-04-09 11:34:12
4633525,10,car,android,1.3284541,103.8140012,4.2655354,14,6.0,2019-04-09 11:34:16
4631578,10,car,android,1.3291785,103.8143032,10.013705,25,8.0,2019-04-09 11:34:29
4631701,10,car,android,1.3296408,103.8145849,10.779083,32,6.0,2019-04-09 11:34:35
116296,10,car,android,1.3301994,103.8149779,13.050958,35,8.0,2019-04-09 11:34:41
113318,10,car,android,1.3309295,103.8154771,12.753925,31,8.0,2019-04-09 11:34:48
4632810,10,car,android,1.3310334,103.8155379,13.76921,30,8.0,2019-04-09 11:34:49
115392,10,car,android,1.3320606,103.8161042,14.040142,30,6.0,2019-04-09 11:34:58
4631952,10,car,android,1.3323994,103.8163085,15.312604,32,4.0,2019-04-09 11:35:01
117549,10,car,android,1.3327517,103.8165352,15.233408,34,4.0,2019-04-09 11:35:04
4635361,10,car,android,1.3328678,103.8166122,15.660776,34,4.0,2019-04-09 11:35:05
121040,10,car,android,1.3333119,103.8169405,14.791407,36,4.0,2019-04-09 11:35:09
120531,10,car,android,1.3334157,103.8170171,13.509192,37,4.0,2019-04-09 11:35:10
121898,10,car,android,1.3335142,103.8170926,12.089483,38,6.0,2019-04-09 11:35:11
4628596,10,car,android,1.3336907,103.8172647,7.956872,46,6.0,2019-04-09 11:35:14
115064,10,car,android,1.3338029,103.8174037,6.124905,50,6.0,2019-04-09 11:35:17
120434,10,car,android,1.3338362,103.8174476,5.847602,50,4.0,2019-04-09 11:35:18
4639765,10,car,android,1.3340033,103.8176292,7.7870197,42,4.0,2019-04-09 11:35:22
126922,10,car,android,1.3341311,103.8176952,7.620677,27,4.0,2019-04-09 11:35:24
4638025,10,car,android,1.3350535,103.8182256,11.22744,31,6.0,2019-04-09 11:35:42
119779,10,car,android,1.3352256,103.8183214,10.495643,29,4.0,2019-04-09 11:35:44
125540,10,car,android,1.3353064,103.8183623,10.2834425,27,4.0,2019-04-09 11:35:45
4634005,10,car,android,1.3359737,103.818576,11.875691,18,6.0,2019-04-09 11:35:52
125113,10,car,android,1.3362754,103.818667,11.372602,20,4.0,2019-04-09 11:35:55
4633356,10,car,android,1.3363695,103.8187032,10.884713,21,4.0,2019-04-09 11:35:56
118747,10,car,android,1.3370588,103.8190387,12.621685,27,6.0,2019-04-09 11:36:04
112808,10,car,android,1.3374703,103.8192518,13.217082,25,6.0,2019-04-09 11:36:08
122326,10,car,android,1.3380638,103.8195043,15.435626,22,6.0,2019-04-09 11:36:13
112627,10,car,android,1.3386471,103.8197378,12.501465,22,6.0,2019-04-09 11:36:18
4628256,10,car,android,1.3389843,103.8198966,13.783432,27,6.0,2019-04-09 11:36:21
4638222,10,car,android,1.3393999,103.820187,14.447872,38,8.0,2019-04-09 11:36:25
127249,10,car,android,1.3396783,103.8204781,14.472136,45,8.0,2019-04-09 11:36:28
119339,10,car,android,1.3402169,103.8215304,12.270823,68,6.0,2019-04-09 11:36:38
121090,10,car,android,1.3403541,103.8219836,13.537837,71,6.0,2019-04-09 11:36:42
121889,10,car,android,1.3403904,103.8220938,13.434089,71,6.0,2019-04-09 11:36:43
122510,10,car,android,1.3404239,103.8222056,13.518962,71,6.0,2019-04-09 11:36:44
4629245,10,car,android,1.3406221,103.8228277,15.485943,71,6.0,2019-04-09 11:36:49
4630783,10,car,android,1.3407658,103.823254,17.218983,71,6.0,2019-04-09 11:36:52
4640381,10,car,android,1.3412144,103.8247973,16.23616,76,8.0,2019-04-09 11:37:02
4635018,10,car,android,1.341267,103.8254182,16.696095,84,6.0,2019-04-09 11:37:06
4629238,10,car,android,1.3412565,103.825998,15.870835,90,6.0,2019-04-09 11:37:10
4638460,10,car,android,1.3412195,103.8266774,14.960772,92,6.0,2019-04-09 11:37:15
124382,10,car,android,1.3411833,103.8273748,15.495466,92,6.0,2019-04-09 11:37:20
4638312,10,car,android,1.3409766,103.829194,15.024137,100,8.0,2019-04-09 11:37:33
4631778,10,car,android,1.3408953,103.8295968,14.8680525,99,6.0,2019-04-09 11:37:36
4638542,10,car,android,1.3408054,103.8301062,14.5268135,98,6.0,2019-04-09 11:37:40
4633694,10,car,android,1.3407833,103.8302329,14.8069315,99,6.0,2019-04-09 11:37:41
4639229,10,car,android,1.3407362,103.8305027,15.649456,98,6.0,2019-04-09 11:37:43
123838,10,car,android,1.3405857,103.8315713,17.35316,98,6.0,2019-04-09 11:37:50
114833,10,car,android,1.3404353,103.8326893,18.861261,94,6.0,2019-04-09 11:37:57
4627307,10,car,android,1.3409673,103.8348628,19.739622,63,6.0,2019-04-09 11:38:10
4633451,10,car,android,1.3410607,103.8350241,19.381899,62,6.0,2019-04-09 11:38:11
119998,10,car,android,1.3412259,103.8352817,18.300446,61,6.0,2019-04-09 11:38:13
4634953,10,car,android,1.3419977,103.8365396,18.811903,59,4.0,2019-04-09 11:38:22
4633512,10,car,android,1.3425679,103.8374983,16.72507,59,8.0,2019-04-09 11:38:29
4634558,10,car,android,1.3427213,103.8377447,15.758012,57,6.0,2019-04-09 11:38:31
4631185,10,car,android,1.3431269,103.8381566,15.624269,38,8.0,2019-04-09 11:38:35
123875,10,car,android,1.3446051,103.8384367,19.002565,5,4.0,2019-04-09 11:38:45
116205,10,car,android,1.3464197,103.8385342,13.390842,0,6.0,2019-04-09 11:38:57
4634663,10,car,android,1.3467048,103.838517,8.171615,355,8.0,2019-04-09 11:39:00
116417,10,car,android,1.3470122,103.8384548,6.534497,345,6.0,2019-04-09 11:39:05
113791,10,car,android,1.3476721,103.8381557,6.119992,330,4.0,2019-04-09 11:39:21
118291,10,car,android,1.3477917,103.8380884,4.1436715,329,4.0,2019-04-09 11:39:24
115467,10,car,android,1.3479026,103.8380133,0.5136205,326,3.0,2019-04-09 11:39:32
121174,10,car,android,1.3479321,103.8379889,0.0,325,3.0,2019-04-09 11:39:42
4634184,10,car,android,1.3479462,103.8379747,0.0,325,3.0,2019-04-09 11:39:49
120159,10,car,android,1.347947,103.8379739,0.0,325,3.0,2019-04-09 11:39:51
122905,10,car,android,1.3484725,103.8380304,8.11861,53,6.0,2019-04-09 11:40:15
4642212,10,car,android,1.3486638,103.838663,7.8511076,88,4.0,2019-04-09 11:40:25
4634693,10,car,android,1.3486531,103.8388061,7.6528277,92,4.0,2019-04-09 11:40:27
123440,10,car,android,1.3486525,103.8389729,2.0054026,70,5.111,2019-04-09 11:40:30
4630270,10,car,android,1.3486567,103.8389877,2.417452,68,5.422,2019-04-09 11:40:31
128234,10,car,android,1.3488348,103.8392644,8.666565,44,6.0,2019-04-09 11:40:37
127832,10,car,android,1.3489172,103.8393103,9.7696085,28,6.0,2019-04-09 11:40:38
4641959,10,car,android,1.349017,103.8393596,11.4458065,25,6.0,2019-04-09 11:40:39
4638511,10,car,android,1.3491073,103.8393931,11.713562,21,6.0,2019-04-09 11:40:40
118673,10,car,android,1.3500522,103.8395361,16.499868,8,6.0,2019-04-09 11:40:47
4634249,10,car,android,1.3508976,103.8396897,8.37174,11,6.0,2019-04-09 11:40:54
4631194,10,car,android,1.3510584,103.8397279,0.45945585,25,5.796,2019-04-09 11:40:59
124117,10,car,android,1.3510745,103.8397329,0.0,25,4.122,2019-04-09 11:41:04
4636204,10,car,android,1.3510751,103.8397331,0.0,25,3.989,2019-04-09 11:41:05
4630395,10,car,android,1.3514044,103.8398192,9.232656,13,6.0,2019-04-09 11:42:11
126553,10,car,android,1.3514967,103.8398389,10.517707,13,6.0,2019-04-09 11:42:12
4628446,10,car,android,1.3515945,103.8398597,11.586113,12,6.0,2019-04-09 11:42:13
127694,10,car,android,1.3533584,103.8405303,16.797224,22,6.0,2019-04-09 11:42:27
112728,10,car,android,1.3542283,103.8408988,17.233355,23,6.0,2019-04-09 11:42:33
4639478,10,car,android,1.3549444,103.8412022,17.165047,21,6.0,2019-04-09 11:42:38
112842,10,car,android,1.3564857,103.8415931,18.751385,5,8.0,2019-04-09 11:42:48
4631108,10,car,android,1.3568455,103.8415938,19.360844,0,8.0,2019-04-09 11:42:50
115241,10,car,android,1.3573689,103.8415464,18.674574,355,8.0,2019-04-09 11:42:53
115635,10,car,android,1.357542,103.8415269,18.460138,354,8.0,2019-04-09 11:42:54
126180,10,car,android,1.3586418,103.8414019,17.2717,358,8.0,2019-04-09 11:43:01
118512,10,car,android,1.3593241,103.8414246,13.36206,4,8.0,2019-04-09 11:43:06
4642377,10,car,android,1.3603284,103.8416594,2.2322664,17,4.752,2019-04-09 11:43:19
115789,10,car,android,1.3603484,103.8416735,1.7892567,19,3.687,2019-04-09 11:43:20
4638284,10,car,android,1.3603954,103.8416975,0.0,18,3.0,2019-04-09 11:43:24
123284,10,car,android,1.3603987,103.8416991,0.0,18,3.0,2019-04-09 11:43:25
123494,10,car,android,1.360405,103.8417022,0.0,18,3.0,2019-04-09 11:43:31
4631599,10,car,android,1.3604055,103.8417024,0.0,18,3.195,2019-04-09 11:43:35
4634040,10,car,android,1.3607307,103.841805,5.1960196,35,4.0,2019-04-09 11:43:54
4631719,10,car,android,1.3607537,103.8420639,7.7939544,112,4.0,2019-04-09 11:43:59
4641066,10,car,android,1.3607031,103.8422034,8.296848,109,6.0,2019-04-09 11:44:01
128101,10,car,android,1.3604587,103.8429806,11.105092,106,8.0,2019-04-09 11:44:09
4633760,10,car,android,1.3603454,103.8434443,10.568353,104,12.0,2019-04-09 11:44:14
4632834,10,car,android,1.3602601,103.8436782,9.199481,111,8.0,2019-04-09 11:44:17
127966,10,car,android,1.3602175,103.8437554,9.353143,112,8.0,2019-04-09 11:44:18
121277,10,car,android,1.360062,103.8439936,9.57737,123,8.0,2019-04-09 11:44:21
4639940,10,car,android,1.3591483,103.8450552,8.188842,134,8.0,2019-04-09 11:44:38
4637177,10,car,android,1.3583745,103.845168,9.385006,182,8.0,2019-04-09 11:44:47
4639590,10,car,android,1.3580203,103.8451585,4.9331956,181,8.0,2019-04-09 11:44:52
4637353,10,car,android,1.3580058,103.8451593,0.0,196,7.747,2019-04-09 11:44:55
