,trj_id,driving_mode,osname,pingtimestamp,rawlat,rawlng,speed,bearing,accuracy,realtime
115855,10,car,android,1554809240,1.3048365,103.8015036,17.523708,3,8.0,2019-04-09 11:27:20
116205,10,car,android,1554809937,1.3464197,103.8385342,13.390842,0,6.0,2019-04-09 11:38:57
116245,10,car,android,1554809203,1.3007726,103.8005916,3.7219179,86,3.854,2019-04-09 11:26:43
116296,10,car,android,1554809681,1.3301994,103.8149779,13.050958,35,8.0,2019-04-09 11:34:41
116417,10,car,android,1554809945,1.3470122,103.8384548,6.534497,345,6.0,2019-04-09 11:39:05
117058,10,car,android,1554809454,1.3195446,103.8103476,2.7026901,65,3.501,2019-04-09 11:30:54
117218,10,car,android,1554809372,1.3181299,103.808327,4.8093677,49,6.0,2019-04-09 11:29:32
117223,10,car,android,1554809623,1.3270107,103.8138311,4.664136,3,6.0,2019-04-09 11:33:43
117312,10,car,android,1554809514,1.3211762,103.8124918,6.2504473,43,6.0,2019-04-09 11:31:54
117494,10,car,android,1554809457,1.3195744,103.8104117,2.8508947,65,3.518,2019-04-09 11:30:57
117549,10,car,android,1554809704,1.3327517,103.8165352,15.233408,34,4.0,2019-04-09 11:35:04
117925,10,car,android,1554809652,1.3282765,103.8139638,6.9014473,10,6.0,2019-04-09 11:34:12
118174,10,car,android,1554809597,1.3254261,103.8136828,4.321351,6,6.0,2019-04-09 11:33:17
118291,10,car,android,1554809964,1.3477917,103.8380884,4.1436715,329,4.0,2019-04-09 11:39:24
118497,10,car,android,1554809613,1.326353,103.8137722,10.044431,4,6.0,2019-04-09 11:33:33
118512,10,car,android,1554810186,1.3593241,103.8414246,13.36206,4,8.0,2019-04-09 11:43:06
118673,10,car,android,1554810047,1.3500522,103.8395361,16.499868,8,6.0,2019-04-09 11:40:47
118747,10,car,android,1554809764,1.3370588,103.8190387,12.621685,27,6.0,2019-04-09 11:36:04
118948,10,car,android,1554809186,1.3007818,103.8005064,0.0,107,4.161,2019-04-09 11:26:26
118989,10,car,android,1554809185,1.3007817,103.8005044,0.0,107,4.393,2019-04-09 11:26:25
119230,10,car,android,1554809396,1.318761,103.8090227,1.854598,51,3.457,2019-04-09 11:29:56
119339,10,car,android,1554809798,1.3402169,103.8215304,12.270823,68,6.0,2019-04-09 11:36:38
119779,10,car,android,1554809744,1.3352256,103.8183214,10.495643,29,4.0,2019-04-09 11:35:44
119932,10,car,android,1554809385,1.3184811,103.8086934,6.304171,48,6.0,2019-04-09 11:29:45
119940,10,car,android,1554809547,1.3229397,103.8132481,5.398307,11,4.0,2019-04-09 11:32:27
119998,10,car,android,1554809893,1.3412259,103.8352817,18.300446,61,6.0,2019-04-09 11:38:13
120159,10,car,android,1554809991,1.347947,103.8379739,0.0,325,3.0,2019-04-09 11:39:51
120235,10,car,android,1554809430,1.3192442,103.8097321,2.8184516,61,3.447,2019-04-09 11:30:30
120329,10,car,android,1554809274,1.308991,103.8028496,17.044344,22,8.0,2019-04-09 11:27:54
120434,10,car,android,1554809718,1.3338362,103.8174476,5.847602,50,4.0,2019-04-09 11:35:18
120531,10,car,android,1554809710,1.3334157,103.8170171,13.509192,37,4.0,2019-04-09 11:35:10
121020,10,car,android,1554809388,1.3185772,103.8087999,5.314335,48,6.0,2019-04-09 11:29:48
121040,10,car,android,1554809709,1.3333119,103.8169405,14.791407,36,4.0,2019-04-09 11:35:09
121090,10,car,android,1554809802,1.3403541,103.8219836,13.537837,71,6.0,2019-04-09 11:36:42
121174,10,car,android,1554809982,1.3479321,103.8379889,0.0,325,3.0,2019-04-09 11:39:42
121277,10,car,android,1554810261,1.360062,103.8439936,9.57737,123,8.0,2019-04-09 11:44:21
121553,10,car,android,1554809499,1.3204718,103.811853,0.0,45,3.0,2019-04-09 11:31:39
121889,10,car,android,1554809803,1.3403904,103.8220938,13.434089,71,6.0,2019-04-09 11:36:43
121898,10,car,android,1554809711,1.3335142,103.8170926,12.089483,38,6.0,2019-04-09 11:35:11
122153,10,car,android,1554809295,1.3124497,103.8039393,17.560362,17,8.0,2019-04-09 11:28:15
122155,10,car,android,1554809431,1.3192573,103.8097592,3.3257418,62,3.603,2019-04-09 11:30:31
122326,10,car,android,1554809773,1.3380638,103.8195043,15.435626,22,6.0,2019-04-09 11:36:13
122510,10,car,android,1554809804,1.3404239,103.8222056,13.518962,71,6.0,2019-04-09 11:36:44
122532,10,car,android,1554809496,1.3204638,103.8118478,0.36995736,46,3.0,2019-04-09 11:31:36
122551,10,car,android,1554809209,1.3008898,103.8008148,6.134713,32,6.0,2019-04-09 11:26:49
122905,10,car,android,1554810015,1.3484725,103.8380304,8.11861,53,6.0,2019-04-09 11:40:15
122993,10,car,android,1554809349,1.3176397,103.8077424,4.350401,50,8.0,2019-04-09 11:29:09
123284,10,car,android,1554810205,1.3603987,103.8416991,0.0,18,3.0,2019-04-09 11:43:25
123440,10,car,android,1554810030,1.3486525,103.8389729,2.0054026,70,5.111,2019-04-09 11:40:30
123494,10,car,android,1554810211,1.360405,103.8417022,0.0,18,3.0,2019-04-09 11:43:31
123709,10,car,android,1554809259,1.3070684,103.8021322,12.893114,20,8.0,2019-04-09 11:27:39
123838,10,car,android,1554809870,1.3405857,103.8315713,17.35316,98,6.0,2019-04-09 11:37:50
123875,10,car,android,1554809925,1.3446051,103.8384367,19.002565,5,4.0,2019-04-09 11:38:45
123932,10,car,android,1554809156,1.3015215,103.7994988,6.0836606,132,8.0,2019-04-09 11:25:56
124117,10,car,android,1554810064,1.3510745,103.8397329,0.0,25,4.122,2019-04-09 11:41:04
124382,10,car,android,1554809840,1.3411833,103.8273748,15.495466,92,6.0,2019-04-09 11:37:20
125113,10,car,android,1554809755,1.3362754,103.818667,11.372602,20,4.0,2019-04-09 11:35:55
125540,10,car,android,1554809745,1.3353064,103.8183623,10.2834425,27,4.0,2019-04-09 11:35:45
125968,10,car,android,1554809345,1.3175013,103.8076009,5.287815,49,8.0,2019-04-09 11:29:05
126180,10,car,android,1554810181,1.3586418,103.8414019,17.2717,358,8.0,2019-04-09 11:43:01
126541,10,car,android,1554809210,1.3009408,103.8008436,6.3729343,30,6.0,2019-04-09 11:26:50
126553,10,car,android,1554810132,1.3514967,103.8398389,10.517707,13,6.0,2019-04-09 11:42:12
126922,10,car,android,1554809724,1.3341311,103.8176952,7.620677,27,4.0,2019-04-09 11:35:24
127032,10,car,android,1554809251,1.3061421,103.8018023,13.052193,19,8.0,2019-04-09 11:27:31
127212,10,car,android,1554809553,1.3232067,103.8133006,5.4877105,11,4.0,2019-04-09 11:32:33
127249,10,car,android,1554809788,1.3396783,103.8204781,14.472136,45,8.0,2019-04-09 11:36:28
127369,10,car,android,1554809590,1.3250434,103.8136374,7.8714395,8,4.0,2019-04-09 11:33:10
127694,10,car,android,1554810147,1.3533584,103.8405303,16.797224,22,6.0,2019-04-09 11:42:27
127832,10,car,android,1554810038,1.3489172,103.8393103,9.7696085,28,6.0,2019-04-09 11:40:38
127966,10,car,android,1554810258,1.3602175,103.8437554,9.353143,112,8.0,2019-04-09 11:44:18
128101,10,car,android,1554810249,1.3604587,103.8429806,11.105092,106,8.0,2019-04-09 11:44:09
128234,10,car,android,1554810037,1.3488348,103.8392644,8.666565,44,6.0,2019-04-09 11:40:37
128258,10,car,android,1554809616,1.3266063,103.8137963,8.129013,4,6.0,2019-04-09 11:33:36
128591,10,car,android,1554809281,1.3100812,103.8032879,20.494608,20,6.0,2019-04-09 11:28:01
4627012,10,car,android,1554809263,1.3075506,103.8023064,14.400603,19,8.0,2019-04-09 11:27:43
4627122,10,car,android,1554809230,1.3032777,103.8014032,15.9220915,9,6.0,2019-04-09 11:27:10
4627240,10,car,android,1554809363,1.317778,103.8079218,5.351006,50,8.0,2019-04-09 11:29:23
4627307,10,car,android,1554809890,1.3409673,103.8348628,19.739622,63,6.0,2019-04-09 11:38:10
4627690,10,car,android,1554809214,1.3012874,103.8009949,11.348696,19,8.0,2019-04-09 11:26:54
4627902,10,car,android,1554809507,1.3208252,103.8121655,5.73243,42,6.0,2019-04-09 11:31:47
4628256,10,car,android,1554809781,1.3389843,103.8198966,13.783432,27,6.0,2019-04-09 11:36:21
4628342,10,car,android,1554809254,1.306477,103.8019204,13.360846,19,8.0,2019-04-09 11:27:34
4628446,10,car,android,1554810133,1.3515945,103.8398597,11.586113,12,6.0,2019-04-09 11:42:13
4628467,10,car,android,1554809169,1.3009753,103.8001605,7.2557783,128,8.0,2019-04-09 11:26:09
4628596,10,car,android,1554809714,1.3336907,103.8172647,7.956872,46,6.0,2019-04-09 11:35:14
4628842,10,car,android,1554809234,1.3038759,103.801465,16.620235,4,8.0,2019-04-09 11:27:14
4629238,10,car,android,1554809830,1.3412565,103.825998,15.870835,90,6.0,2019-04-09 11:37:10
4629245,10,car,android,1554809809,1.3406221,103.8228277,15.485943,71,6.0,2019-04-09 11:36:49
4629250,10,car,android,1554809237,1.3043618,103.8014886,17.27532,2,8.0,2019-04-09 11:27:17
4629318,10,car,android,1554809383,1.3184104,103.8086168,6.3420854,48,6.0,2019-04-09 11:29:43
4629577,10,car,android,1554809419,1.319125,103.8095114,5.5714226,57,6.0,2019-04-09 11:30:19
4629756,10,car,android,1554809640,1.3275779,103.8138692,2.352029,6,4.574,2019-04-09 11:34:00
4629772,10,car,android,1554809650,1.328149,103.8139393,7.5621486,8,6.0,2019-04-09 11:34:10
4629931,10,car,android,1554809483,1.3199963,103.8112873,9.087463,60,4.0,2019-04-09 11:31:23
4630270,10,car,android,1554810031,1.3486567,103.8389877,2.417452,68,5.422,2019-04-09 11:40:31
4630395,10,car,android,1554810131,1.3514044,103.8398192,9.232656,13,6.0,2019-04-09 11:42:11
4630413,10,car,android,1554809224,1.3024675,103.8012612,14.7712755,11,6.0,2019-04-09 11:27:04
4630545,10,car,android,1554809632,1.327368,103.8138571,4.185912,7,6.0,2019-04-09 11:33:52
4630783,10,car,android,1554809812,1.3407658,103.823254,17.218983,71,6.0,2019-04-09 11:36:52
4630810,10,car,android,1554809561,1.3234802,103.8133467,2.840367,12,3.525,2019-04-09 11:32:41
4631108,10,car,android,1554810170,1.3568455,103.8415938,19.360844,0,8.0,2019-04-09 11:42:50
4631185,10,car,android,1554809915,1.3431269,103.8381566,15.624269,38,8.0,2019-04-09 11:38:35
4631194,10,car,android,1554810059,1.3510584,103.8397279,0.45945585,25,5.796,2019-04-09 11:40:59
4631578,10,car,android,1554809669,1.3291785,103.8143032,10.013705,25,8.0,2019-04-09 11:34:29
4631599,10,car,android,1554810215,1.3604055,103.8417024,0.0,18,3.195,2019-04-09 11:43:35
4631701,10,car,android,1554809675,1.3296408,103.8145849,10.779083,32,6.0,2019-04-09 11:34:35
4631719,10,car,android,1554810239,1.3607537,103.8420639,7.7939544,112,4.0,2019-04-09 11:43:59
4631778,10,car,android,1554809856,1.3408953,103.8295968,14.8680525,99,6.0,2019-04-09 11:37:36
4631949,10,car,android,1554809241,1.3049826,103.8015109,15.802989,3,8.0,2019-04-09 11:27:21
4631952,10,car,android,1554809701,1.3323994,103.8163085,15.312604,32,4.0,2019-04-09 11:35:01
4632810,10,car,android,1554809689,1.3310334,103.8155379,13.76921,30,8.0,2019-04-09 11:34:49
4632834,10,car,android,1554810257,1.3602601,103.8436782,9.199481,111,8.0,2019-04-09 11:44:17
4633125,10,car,android,1554809466,1.3196887,103.810657,4.0192475,65,6.0,2019-04-09 11:31:06
4633199,10,car,android,1554809484,1.3200434,103.8113571,8.974625,58,4.0,2019-04-09 11:31:24
4633356,10,car,android,1554809756,1.3363695,103.8187032,10.884713,21,4.0,2019-04-09 11:35:56
4633451,10,car,android,1554809891,1.3410607,103.8350241,19.381899,62,6.0,2019-04-09 11:38:11
4633512,10,car,android,1554809909,1.3425679,103.8374983,16.72507,59,8.0,2019-04-09 11:38:29
4633525,10,car,android,1554809656,1.3284541,103.8140012,4.2655354,14,6.0,2019-04-09 11:34:16
4633694,10,car,android,1554809861,1.3407833,103.8302329,14.8069315,99,6.0,2019-04-09 11:37:41
4633760,10,car,android,1554810254,1.3603454,103.8434443,10.568353,104,12.0,2019-04-09 11:44:14
4634005,10,car,android,1554809752,1.3359737,103.818576,11.875691,18,6.0,2019-04-09 11:35:52
4634040,10,car,android,1554810234,1.3607307,103.841805,5.1960196,35,4.0,2019-04-09 11:43:54
4634068,10,car,android,1554809182,1.3007814,103.8004964,0.48424074,107,4.2,2019-04-09 11:26:22
4634085,10,car,android,1554809589,1.3249748,103.8136279,8.108404,9,4.0,2019-04-09 11:33:09
4634184,10,car,android,1554809989,1.3479462,103.8379747,0.0,325,3.0,2019-04-09 11:39:49
4634249,10,car,android,1554810054,1.3508976,103.8396897,8.37174,11,6.0,2019-04-09 11:40:54
4634531,10,car,android,1554809221,1.3020829,103.801179,13.078429,12,6.0,2019-04-09 11:27:01
4634558,10,car,android,1554809911,1.3427213,103.8377447,15.758012,57,6.0,2019-04-09 11:38:31
4634663,10,car,android,1554809940,1.3467048,103.838517,8.171615,355,8.0,2019-04-09 11:39:00
4634693,10,car,android,1554810027,1.3486531,103.8388061,7.6528277,92,4.0,2019-04-09 11:40:27
4634806,10,car,android,1554809520,1.3213908,103.8126655,5.8332167,41,4.0,2019-04-09 11:32:00
4634953,10,car,android,1554809902,1.3419977,103.8365396,18.811903,59,4.0,2019-04-09 11:38:22
4635018,10,car,android,1554809826,1.341267,103.8254182,16.696095,84,6.0,2019-04-09 11:37:06
4635202,10,car,android,1554809522,1.3214862,103.8127421,7.198373,41,4.0,2019-04-09 11:32:02
4635361,10,car,android,1554809705,1.3328678,103.8166122,15.660776,34,4.0,2019-04-09 11:35:05
4635580,10,car,android,1554809525,1.3216658,103.8128931,8.700318,38,6.0,2019-04-09 11:32:05
4636204,10,car,android,1554810065,1.3510751,103.8397331,0.0,25,3.989,2019-04-09 11:41:05
4636750,10,car,android,1554809174,1.3008547,103.8003488,3.7964983,124,6.967,2019-04-09 11:26:14
4636875,10,car,android,1554809243,1.3052502,103.8015267,14.160214,4,12.0,2019-04-09 11:27:23
4637177,10,car,android,1554810287,1.3583745,103.845168,9.385006,182,8.0,2019-04-09 11:44:47
4637353,10,car,android,1554810295,1.3580058,103.8451593,0.0,196,7.747,2019-04-09 11:44:55
4637771,10,car,android,1554809501,1.3205797,103.8119437,5.051882,46,6.0,2019-04-09 11:31:41
4637796,10,car,android,1554809236,1.3041974,103.8014831,17.197807,3,8.0,2019-04-09 11:27:16
4637926,10,car,android,1554809321,1.3157338,103.8056412,13.634585,46,6.0,2019-04-09 11:28:41
4638025,10,car,android,1554809742,1.3350535,103.8182256,11.22744,31,6.0,2019-04-09 11:35:42
4638034,10,car,android,1554809541,1.3226129,103.8131886,6.261541,11,4.0,2019-04-09 11:32:21
4638222,10,car,android,1554809785,1.3393999,103.820187,14.447872,38,8.0,2019-04-09 11:36:25
4638284,10,car,android,1554810204,1.3603954,103.8416975,0.0,18,3.0,2019-04-09 11:43:24
4638312,10,car,android,1554809853,1.3409766,103.829194,15.024137,100,8.0,2019-04-09 11:37:33
4638373,10,car,android,1554809635,1.3274616,103.8138587,3.33375,5,5.302,2019-04-09 11:33:55
4638460,10,car,android,1554809835,1.3412195,103.8266774,14.960772,92,6.0,2019-04-09 11:37:15
4638511,10,car,android,1554810040,1.3491073,103.8393931,11.713562,21,6.0,2019-04-09 11:40:40
4638542,10,car,android,1554809860,1.3408054,103.8301062,14.5268135,98,6.0,2019-04-09 11:37:40
4638771,10,car,android,1554809452,1.3195243,103.8102996,3.1363268,66,3.632,2019-04-09 11:30:52
4639206,10,car,android,1554809212,1.3010814,103.800913,8.58111,24,6.0,2019-04-09 11:26:52
4639229,10,car,android,1554809863,1.3407362,103.8305027,15.649456,98,6.0,2019-04-09 11:37:43
4639478,10,car,android,1554810158,1.3549444,103.8412022,17.165047,21,6.0,2019-04-09 11:42:38
4639563,10,car,android,1554809416,1.3190388,103.8093769,5.634374,55,6.0,2019-04-09 11:30:16
4639590,10,car,android,1554810292,1.3580203,103.8451585,4.9331956,181,8.0,2019-04-09 11:44:52
4639710,10,car,android,1554809437,1.3193375,103.8099163,2.7288873,62,4.19,2019-04-09 11:30:37
4639765,10,car,android,1554809722,1.3340033,103.8176292,7.7870197,42,4.0,2019-04-09 11:35:22
4639808,10,car,android,1554809268,1.3081571,103.8025196,15.973254,20,8.0,2019-04-09 11:27:48
4639940,10,car,android,1554810278,1.3591483,103.8450552,8.188842,134,8.0,2019-04-09 11:44:38
4639990,10,car,android,1554809648,1.3280186,103.8139232,7.095618,8,6.0,2019-04-09 11:34:08
4640117,10,car,android,1554809639,1.3275557,103.8138664,2.23047,8,4.55,2019-04-09 11:33:59
4640268,10,car,android,1554809567,1.3237619,103.8134035,5.1556926,11,4.0,2019-04-09 11:32:47
4640381,10,car,android,1554809822,1.3412144,103.8247973,16.23616,76,8.0,2019-04-09 11:37:02
4640708,10,car,android,1554809357,1.3176801,103.8077948,0.0,55,4.578,2019-04-09 11:29:17
4640947,10,car,android,1554809242,1.3051175,103.8015185,14.568945,3,8.0,2019-04-09 11:27:22
4641066,10,car,android,1554810241,1.3607031,103.8422034,8.296848,109,6.0,2019-04-09 11:44:01
4641137,10,car,android,1554809180,1.3007824,103.8004776,1.9016918,107,4.787,2019-04-09 11:26:20
4641267,10,car,android,1554809415,1.3190126,103.8093369,5.6228323,55,6.0,2019-04-09 11:30:15
4641504,10,car,android,1554809620,1.3268699,103.8138145,5.9954844,4,6.0,2019-04-09 11:33:40
4641755,10,car,android,1554809354,1.3176762,103.8077896,0.0,55,5.345,2019-04-09 11:29:14
4641959,10,car,android,1554810039,1.349017,103.8393596,11.4458065,25,6.0,2019-04-09 11:40:39
4642212,10,car,android,1554810025,1.3486638,103.838663,7.8511076,88,4.0,2019-04-09 11:40:25
4642377,10,car,android,1554810199,1.3603284,103.8416594,2.2322664,17,4.752,2019-04-09 11:43:19
4642399,10,car,android,1554809222,1.3022072,103.801205,13.635079,11,6.0,2019-04-09 11:27:02
4642509,10,car,android,1554809495,1.3204567,103.8118431,0.7953877,46,3.116,2019-04-09 11:31:35
